GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oswitch-core,com.ocularminds.oswitch.core,Fault,46,22,0,0,20,9,9,5,9,5
oswitch-core,com.ocularminds.oswitch.core,Entry.Type,38,0,0,0,2,0,4,0,4,0
oswitch-core,com.ocularminds.oswitch.core,Entry,81,50,2,2,34,11,24,3,22,3
oswitch-core,com.ocularminds.oswitch.common,XmlFile.Source.new XmlFile.Source() {...},15,0,0,0,3,0,2,0,2,0
oswitch-core,com.ocularminds.oswitch.common,Identifier.Type,9,29,0,0,0,2,2,2,2,2
oswitch-core,com.ocularminds.oswitch.common,XmlFile.Source.new XmlFile.Source() {...},13,0,0,0,2,0,2,0,2,0
oswitch-core,com.ocularminds.oswitch.common,XmlFile.Source.new XmlFile.Source() {...},18,0,0,0,4,0,2,0,2,0
oswitch-core,com.ocularminds.oswitch.common,Identifier,17,37,1,1,3,12,1,3,0,3
oswitch-core,com.ocularminds.oswitch.common,XmlPojo,68,0,0,0,20,0,3,0,3,0
oswitch-core,com.ocularminds.oswitch.common,XmlFile.Source,48,0,0,0,4,0,4,0,4,0
oswitch-core,com.ocularminds.oswitch.common,XmlFile,104,0,6,0,32,0,8,0,5,0
